0.9535291678214031,Uncertainty about the Future,Fear and Uncertainty about the Future
0.9105902123794989,Community Response to Crisis,Government and Medical System Response to Crisis
0.9048419992908897,Impact on Performers and Service Industry Workers,Impact on Business and Employees
0.8910866770968854,Impact on Performers and Service Industry Workers,Impact on Specific Professions
0.8839847764731074,Concerns about Public Health and Safety,Concerns about Medical Resources and Healthcare
0.8718986017367224,Impact on Specific Professions,Impact on Business and Employees
0.8654349810217234,Financial Concerns and Unemployment,Fear and Uncertainty about the Future
0.8645251814320151,Government and Medical System Response to Crisis,Concerns about Medical Resources and Healthcare
0.8638142356015841,Community Support and Hope,Community Response to Crisis
0.8499519763243724,Panic Buying and Resource Scarcity,Fear and Uncertainty about the Future
0.8479472804774089,Community Support and Hope,Housing Policies and Community Impact
0.8453608231805991,Personal Care and Activities,Personal Experiences and Challenges
0.8449207186314522,Financial Concerns and Unemployment,Uncertainty about the Future
0.8413700442714069,Concerns about Public Health and Safety,Fear and Uncertainty about the Future
0.83787841194433,Concerns about Medical Resources and Healthcare,Panic Buying and Resource Scarcity
0.8324694862853522,Frustration and Criticism of Leadership,Fear and Uncertainty about the Future
0.8311664416851684,Concerns about Public Health and Safety,Government and Medical System Response to Crisis
0.8276874043105185,Impact on Business and Employees,Housing Policies and Community Impact
0.8265187954253314,Financial Concerns and Unemployment,Concerns about Medical Resources and Healthcare
0.8254298120138999,Housing Policies and Community Impact,Community Response to Crisis
0.824829322297036,Uncertainty about the Future,Frustration and Criticism of Leadership
0.8244804167493367,Frustration and Criticism of Leadership,Personal Experiences and Challenges
0.8242778056008956,Impact on Business and Employees,Community Response to Crisis
0.8239178159410189,Concerns about Medical Resources and Healthcare,Fear and Uncertainty about the Future
0.8232166070142946,Community Support and Hope,Fear and Uncertainty about the Future
0.8225837210940292,Financial Concerns and Unemployment,Impact on Business and Employees
0.822554172680571,Uncertainty about the Future,Concerns about Medical Resources and Healthcare
0.8194761114332314,Community Response to Crisis,Frustration and Criticism of Leadership
0.8187654677093613,Concerns about Public Health and Safety,Community Response to Crisis
0.8186724887967952,Community Response to Crisis,Concerns about Medical Resources and Healthcare
0.818434052661805,Uncertainty about the Future,Panic Buying and Resource Scarcity
0.8177863961691357,Concerns about Public Health and Safety,Impact on Business and Employees
0.8177344275453546,Concerns about Public Health and Safety,Financial Concerns and Unemployment
0.8169686260009535,Concerns about Public Health and Safety,Uncertainty about the Future
0.816948999874548,Community Response to Crisis,Panic Buying and Resource Scarcity
0.8167129977051641,Impact on Performers and Service Industry Workers,Community Response to Crisis
0.815782301446431,Community Support and Hope,Uncertainty about the Future
0.8153772870380877,Financial Concerns and Unemployment,Panic Buying and Resource Scarcity
0.8148314605572178,Impact on Performers and Service Industry Workers,Housing Policies and Community Impact
0.8142918751708234,Concerns about Public Health and Safety,Housing Policies and Community Impact
0.814068713899627,Community Support and Hope,Concerns about Medical Resources and Healthcare
0.8135382187247353,Personal Experiences and Challenges,Fear and Uncertainty about the Future
0.8132810674371842,Impact on Performers and Service Industry Workers,Concerns about Public Health and Safety
0.8131416919210743,Community Support and Hope,Government and Medical System Response to Crisis
0.8121755376639841,Community Support and Hope,Personal Experiences and Challenges
0.8100051149219457,Community Response to Crisis,Fear and Uncertainty about the Future
0.8091477551999872,Community Support and Hope,Concerns about Public Health and Safety
0.8085261076325052,Impact on Performers and Service Industry Workers,Financial Concerns and Unemployment
