Group,Items
Impact on Performers and Service Industry Workers,"Because I'm, I'm a drag performer at [inaudible 00:13:50]. It was really hard for all of us to kind of lose our jobs, especially for those of us that are not only performers, but have jobs in the service industry. "
Impact on Performers and Service Industry Workers,"But something that really gave me hope was the fact that like right now, the whole community is, or most of the community, is making live videos and trying to put up Broadway performances and [inaudible] stuff. "
Impact on Performers and Service Industry Workers,"And everybody's still tipping each other, even if they're struggling, too. "
Impact on Performers and Service Industry Workers,And kind of passing on whatever money they can actually support everybody with.
Impact on Performers and Service Industry Workers,"So it's kind of cool like how, even though we're all kind of struggling and we all obviously need support, we are still helping each other in a way and calling each other. "
Impact on Performers and Service Industry Workers,"And just being like each other's emotional support, too. So that definitely gave me hope."
Impact on Performers and Service Industry Workers,"I mean I lost all of my income, because I am a performer and I own a salon, and I can't do either right now. "
Impact on Performers and Service Industry Workers,"So I'm just like, I don't have really a lot of options. "
Impact on Performers and Service Industry Workers,The good thing is that I guess like I had some money saved. So I'll be okay to get through the next couple of weeks. 
Impact on Performers and Service Industry Workers,"But at the same time, we don't know how long this is going to last. "
Impact on Performers and Service Industry Workers,"Because they'll tell us a couple weeks, but we really don't know. "
Impact on Performers and Service Industry Workers,Because new information keeps coming every day and everything keeps changing. 
Impact on Performers and Service Industry Workers,"So at this point, we just all have to kind of look at all of your options and figure out what we're going to be able to do to keep surviving."
Impact on Kitchen Workers,"Like those who are doing better than some of us, for example I'm part of the kitchen workers. So I was basically in a very bad sad place. 
For a lot of us there's no safety net"
Impact on Kitchen Workers,"But at the very least, there's been a lot of managers, a lot of friends, a lot of people we all know that kind of reach out to us and try to help."
Impact on Kitchen Workers,"But at the end of the day, there's so much everybody else could do to improve something. You just end up without a safety net."
Impact on Kitchen Workers,"Like I said before, I'm part of a kitchen staff, I work as a cook. I was one of the first ones to get closed down. "
Impact on Kitchen Workers,"And right now you just have to figure out how to stretch your money as much as possible, and find different ways to get income. "
Impact on Kitchen Workers,I myself am able to get unemployment. 
Impact on Kitchen Workers,And like someone who said before unemployment is just not an answer to the question right now how are we going to survive? 
Community Support and Hope,"Mowgli would like to go next. I mean Mowgli and all the humans are home, and that gives me hope."
Community Support and Hope,"To be fair, the only thing that really gives me hope is the fact that a lot of people have been very nice to each other. "
Concerns about Public Health and Safety,I think that one of the main concerns is that people aren't taking it as seriously as we should. 
Concerns about Public Health and Safety,"I think there are people that are still up and about doing unnecessary things, exposing themselves. Which creates more exposure for everybody that they come in contact with. "
Concerns about Public Health and Safety,"And, of course, like one of the biggest concerns I have is my family, and especially because some of them are not here. "
Concerns about Public Health and Safety,"So having my family in another country and not being able to access them or have them come, or be able to see them, especially because my parents are older. I think that's one of the my main concerns."
Concerns about Public Health and Safety,"And of course, making sure that my family and my friends are taken care of. "
Concerns about Public Health and Safety,Because I know that this affects everyone economically. 
Concerns about Public Health and Safety,"The economy is going to be doing really, really bad and that's, I think, one of the biggest concerns after the whole thing passes. So, yeah."
Concerns about Public Health and Safety,"So that just makes it all stressful, because you're trying to limit all the contact that people have. "
Concerns about Public Health and Safety,But then when people have to go out and work and have contact with all these ... like it's how do you do it?
Concerns about Public Health and Safety,"That is just kind of like a big pressure that if someone is positive, then I've been with them, so it's like ... if that makes sense."
Concerns about Public Health and Safety,It's just kind of like [crosstalk] that fear every day that you don't know what's going to happen. I guess.
Concerns about Public Health and Safety,"Because even those that are affected by it with work, they still are risking themselves by going out to work."
Concerns about Public Health and Safety,"It affects everybody emotionally, and not just financially."
Financial Concerns and Unemployment,"For one of my financial concerns because living in Madison, City of Madison hasn't really given a crap about people of color, especially black people, as a social stance, because they all are fake liberal. "
Financial Concerns and Unemployment,"So it's just seeing that now all this stuff is happening, and people who work jobs that are actually like you can't work from home, you have to be physically there to do it, whether that be a trade job or working in kitchen."
Financial Concerns and Unemployment,"Yeah, like actually doing something with your hands, where you can't do it from somewhere else. "
Financial Concerns and Unemployment,"Even though people chose that career because they enjoy that work, it's still like now what are you supposed to do?"
Financial Concerns and Unemployment,"Because everyone who's saying that they want to help, or all the people that are helping, not saying that they want to help. "
Financial Concerns and Unemployment,"All the foundations and all the companies and stuff that are helping, they're small companies or community focused. It's not like a big corporation or like the government or like utility companies. "
Financial Concerns and Unemployment,"People aren't stopping bills, they're postponing eviction, which is cute, but it's like you still got to pay that money. "
Financial Concerns and Unemployment,"And if you haven't been making money this whole time, then how you supposed to pay back something that you couldn't afford in the first place."
Financial Concerns and Unemployment,"So it just keeps you like 'What am I supposed to do. Should I work, is it worth risking going out to work because I need money, or should I stay home?'"
Financial Concerns and Unemployment,And I think that working for some people right now is a necessity. 
Financial Concerns and Unemployment,There are some people that can't just say I'm going to stay home and be safe. It's not a luxury that they can afford at this moment. 
Financial Concerns and Unemployment,"Because they have children, because they have rent to pay, because they have whatever to pay for. "
Financial Concerns and Unemployment,Because there's like a big amount of people that can't file for unemployment or won't get accepted.
Financial Concerns and Unemployment,Right. And just unemployment shouldn't be the answer because it's also a long process. 
Financial Concerns and Unemployment,"Like my sister. She helps people with applying for unemployment and she was telling me about how the lines were saturated becausem like a bunch of people were calling at the same time, so she has to be on wait for like three hours to help just one person. "
Financial Concerns and Unemployment,So imagine the people that are not getting helped through this(unemployment). Like it's just very unaccessible sometimes.
Financial Concerns and Unemployment,And they ask for so much information that a lot of people don't even have at hand.
Impact on Families,"Fortunately I've had the, like I'm lucky enough to not be financially affected by it right now. "
Impact on Families,"I still able to work from home and able to get my income, but a lot of people that are in worse situations than I am. "
Impact on Families,"Like my sister, she worked at Madison College, and her partner worked at a restaurant, and they have a kid and now neither of them have income coming in. "
Impact on Families,"So like for families like that, that's what I'm wondering how they're going to be able to handle that especially for families that can't file for unemployment at all. "
Impact on Medical Field Workers,"I think for me working in the medical field, it's been it's been kind of tough I guess, because we've had so many like [inaudible] there I guess. "
Impact on Medical Field Workers,"Because even those that are affected by it with work, they still are risking themselves by going out to work."
Impact on Horticulture Workers,"Well, I worked in horticulture, indoor horticulture, so I do a private company with a whole bunch of different businesses around Madison. "
Impact on Horticulture Workers,"And I started feeling this as soon as corporate America started feeling it, because my clients started calling and saying that they were closed. "
Impact on Horticulture Workers,And so I've been changing my people around and working like crazy to try to water and protect all these plants for however these people are going to closed for.
Impact on Horticulture Workers,"My boss who owns the company, he's already talked to me and told me how we're most likely going to lose clients because of this. "
Impact on Horticulture Workers,"Because some small businesses, that when they do open up whenever they can, if their plants are dead, they're not going to be able to afford different new plants and restart up the contract. "
Impact on Horticulture Workers,"And so if we can't afford to insure all of these businesses with hundreds and hundreds and hundreds of plants, to replace everything just because of a crisis. "
Impact on Horticulture Workers,"So the fact that I'm already losing clients, losing hours."
Impact on Horticulture Workers,"And then now like yeah, it was busy and great for me last week, because I was preparing for all these closures. But now this week all my clients are closed, so I'm like just sitting here waiting. "
Impact on Horticulture Workers,And so that's one aspect of just like not really knowing the future of that.
Impact on Horticulture Workers,"And it's really sad, because that's actually a career that I enjoy, and it's one of my passions. "
Impact on Horticulture Workers,So we'll just have to see how that business is affected by all of this. 
Impact on Horticulture Workers,"But it also was putting a risk at me, because I made contact with so many people every single day, going in and out of offices of hundreds of people each day, and going through at least four offices a day. "
Impact on Horticulture Workers,I was very high risk of exposure. Like even one of the places that I watered was St. Mary's Hospital or I would also do the airport.
Impact on Horticulture Workers,"So it's like going to the hospital and getting tested, or getting checked or whatever, into the hospital, but then the next day finding out that that hospital has doctors that are testing positive and giving it to their patients is like ... like all of that is scary. "
Impact on Horticulture Workers,So it makes it so it's like nothing's really safe in that career field. 
Impact on Winery Managers,But then my other job managing a winery. And the service industry is another place that we're getting hit really hard. 
Not Grouped,"That's the government just giving their backs to everybody, and that's not okay."
Not Grouped,"So they can't get any sort of income, and it's people that have been working two three jobs just to get by. And now, how are they going to do that?"
Impact on Business and Employees,"Just because you can only do take out, and no one really is like trying to take out like that. "
Impact on Business and Employees,"I have some regulars that are really trying to support the business and they're trying to, like they bought a couple cases of wines, trying to support and make sure that we have some kind of income."
Impact on Business and Employees,"But I had to lay off, indefinitely, all of my employees, because ... none of them are full time, this is all a wine store shop. "
Impact on Business and Employees,"So it's like now I'm telling them that there's no hours for anybody, because they can't make tips. "
Impact on Business and Employees,So there's no reason for them to come in. 
Impact on Business and Employees,And it's just been really hard having those conversations with other people who are trying to feed themselves and their families. 
Impact on Business and Employees,"And students who are now like, they don't even know where they're supposed to stay, what they're supposed to do, what their actual obligations are ... the companies are to their education. "
Impact on Business and Employees,Everything is up in the air. 
Impact on Business and Employees,And it's just really hard because like both of those positions are affected greatly. So in return I am affected greatly.
Personal Care and Activities,I'm growing my beard out. It's great.
Personal Care and Activities,I'll try to grow my mustache out. It's coming in real nicely now. 
Personal Care and Activities,"So I think that with all the things going on, I haven't really had time, which is come up with a self care routine or a self care, I don't know, something. "
Personal Care and Activities,Just because everything has been so chaotic and everything is just happening. 
Personal Care and Activities,"And I'm barely trying to get accustomed to work from home and doing all the virtual meetings, and doing all of that. And finding a way for me to get organized with that. "
Personal Care and Activities,"So, everything is still kind of messy. "
